LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price,Product Link
C2040,RP2040,Raspberry Pi,QFN-56(7x7),,ARM Cortex-M0 1@x4ch/12bit USB Host/Device 2 264KB 2 133MHz 30 2 QFN-56(7x7)  Microcontroller Units (MCUs/MPUs/SOCs) ROHS,yes,5,1,1.4643,7.32,https://assets.lcsc.com/images/lcsc/96x96/20220407_Raspberry-Pi-RP2040_C2040_front.jpg
C283540,TYPE-C-31-M-17,Korean Hroparts Elec,SMD,,1 6 Female Type-C SMD  USB Connectors ROHS,yes,5,1,0.2245,1.12,https://assets.lcsc.com/images/lcsc/96x96/20220507_Korean-Hroparts-Elec-TYPE-C-31-M-17_C283540_front.jpg
C113767,W25Q128JVSIQ,Winbond Elec,SOIC-8_208mil,, SOIC-8_208mil  NOR FLASH ROHS,yes,5,1,1.1708,5.85,https://assets.lcsc.com/images/lcsc/96x96/20190528_Winbond-Elec-W25Q128JVSIQ_C113767_front.jpg
C967571,0402X105K250NT,FH(Guangdong Fenghua Advanced Tech),402,,25V 1uF ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,50,50,0.0049,0.25,https://assets.lcsc.com/images/lcsc/96x96/20201214_FH-Guangdong-Fenghua-Advanced-Tech-0402X105K250NT_C967571_front.jpg
C163694,0402X106M6R3NT,FH(Guangdong Fenghua Advanced Tech),402,,6.3V 10uF X5R ±20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,50,50,0.01,0.5,https://assets.lcsc.com/images/lcsc/96x96/20180914_FH-Guangdong-Fenghua-Advanced-Tech-0402X106M6R3NT_C163694_front.jpg
C84263,NCD0603R1,Foshan NationStar Optoelectronics,603,,Red 0603  Light Emitting Diodes (LED) ROHS,yes,50,50,0.0104,0.52,https://assets.lcsc.com/images/lcsc/96x96/20180914_Foshan-NationStar-Optoelectronics-NCD0603R1_C84263_front.jpg
C3021085,TPAP2112K-3.3TRG1,TECH PUBLIC,SOT-23-5,, SOT-23-5  Linear Voltage Regulators (LDO) ROHS,yes,10,1,0.1287,1.29,https://assets.lcsc.com/images/lcsc/96x96/20220628_TECH-PUBLIC-TPAP2112K-3-3TRG1_C3021085_front.jpg
C114586,WS2812B-B,Worldsemi,"SMD,5x5mm",,"RGB SMD,5x5mm  Light Emitting Diodes (LED) ROHS",yes,10,5,0.1063,1.06,https://assets.lcsc.com/images/lcsc/96x96/20180914_Worldsemi-WS2812B-B_C114586_front_10.jpg
C426972,S3212000201080,JGHC,SMD3225-4P,,12MHz SMD Crystal Resonator 20pF 80Ω ±10ppm -40℃~+85℃ SMD3225-4P  Crystals ROHS,yes,10,5,0.1155,1.16,https://assets.lcsc.com/images/lcsc/96x96/20190923_JGHC-S3212000201080_C426972_front.jpg
C325521,RMC04025.1K1%N,TyoHM,402,,62.5mW ±1% 5.1kΩ 0402  Chip Resistor - Surface Mount ROHS,yes,100,100,0.0033,0.33,https://assets.lcsc.com/images/lcsc/96x96/20181121_TyoHM-RMC04025-1K1-N_C325521_front.jpg
C2692697,PTFR0402B10K0P9,Resistor.Today,402,,60mW Thin Film Resistor 75V ±0.1% ±25ppm/℃ -55℃~+125℃ 10kΩ 0402  Chip Resistor - Surface Mount ROHS,yes,100,10,0.0507,5.07,https://assets.lcsc.com/images/lcsc/96x96/20210720_Resistor-Today-PTFR0402B10K0P9_C2692697_front.jpg
C100614,CR0402JF0222G,LIZ Elec,402,,62.5mW Thick Film Resistors 50V ±5% ±200ppm/℃ -55℃~+125℃ 2.2kΩ 0402  Chip Resistor - Surface Mount ROHS,yes,100,100,0.0007,0.07,https://assets.lcsc.com/images/lcsc/96x96/20180914_LIZ-Elec-CR0402JF0222G_C100614_front.jpg
C319807,AR02DTD1001,Viking Tech,402,,62.5mW Thin Film Resistor 25V ±0.5% ±50ppm/℃ -55℃~+155℃ 1kΩ 0402  Chip Resistor - Surface Mount ROHS,yes,100,50,0.0122,1.22,https://assets.lcsc.com/images/lcsc/96x96/20181113_Viking-Tech-AR02DTD1001_C319807_front.jpg
C352446,AECR0402F27R0K9,Resistor.Today,402,,63mW ±1% 27Ω 0402  Chip Resistor - Surface Mount ROHS,yes,100,100,0.0024,0.24,https://assets.lcsc.com/images/lcsc/96x96/20181213_Resistor-Today-AECR0402F27R0K9_C352446_front.jpg
C843896,CRCW0402200RFKEDC,Vishay Intertech,402,,63mW 50V ±1% -55℃~+155℃ 200Ω 0402  Chip Resistor - Surface Mount ROHS,yes,100,20,0.0254,2.54,https://assets.lcsc.com/images/lcsc/96x96/20220531_Vishay-Intertech-CRCW0402200RFKEDC_C843896_front.jpg
C327803,MR04X103 JTL,Walsin Tech Corp,402,,100mW 50V ±5% ±100ppm/℃ -55℃~+155℃ 10kΩ 0402  Chip Resistor - Surface Mount ROHS,yes,100,100,0.0012,0.12,https://assets.lcsc.com/images/lcsc/96x96/20181028_Walsin-Tech-Corp-MR04X103-JTL_C327803_front.jpg
C963191,GT-TC063F-H025-L30,G-Switch,SMD,,No NO J pin 50mA 6.2mm 100MΩ 300000 12V 70gf@±30gf 6.2mm -30℃~+85℃ 2.5mm Gray Round Button Brick nogging SPST SMD  Tactile Switches ROHS,yes,10,1,0.1774,1.77,https://assets.lcsc.com/images/lcsc/96x96/20210410_G-Switch-GT-TC063F-H025-L30_C963191_front.jpg
C963235,GT-TC018A-H0375-L1,G-Switch,SMD,,No NO SMDSplicing 50mA 4.7mm 100MΩ 100000 12V 160gf@±30gf 1.9mm -30℃~+85℃ 3.75mm Black Rectangle button Surface Mount SPST SMD  Tactile Switches ROHS,yes,20,20,0.0304,0.61,https://assets.lcsc.com/images/lcsc/96x96/20210410_G-Switch-GT-TC018A-H0375-L1_C963235_front.jpg
C466502,SS34,High Diode,SMAG,,40V 550mV@3A 3A SMAG  Schottky Barrier Diodes (SBD) ROHS,yes,10,10,0.0588,0.59,https://assets.lcsc.com/images/lcsc/96x96/20200110_High-Diode-SS34_C466502_front.jpg
C597017,04025A150GAT2A,Kyocera AVX,402,,50V 15pF C0G ±2% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,20,1,0.0028,0.06,-
